input_folder,day,t,θUPDIS/RESUPDIS,θUPCH/RESUPCH,θDNDIS/RESDNDIS,θDNCH/RESDNCH
RTS-GMLC_v2.0,1,1,1.0000000000000002,1.0000000000000004,0.9999999999999983,0.9999999999999993
RTS-GMLC_v2.0,1,2,0.9702684400224797,0.9711857854105759,0.9751910946353184,0.9724399153481806
RTS-GMLC_v2.0,1,3,0.9582314285230544,0.9591023540195186,0.9726671789643582,0.9723674232016492
RTS-GMLC_v2.0,1,4,0.951112689522626,0.9517104523341543,0.9646579815006676,0.9636193111119573
RTS-GMLC_v2.0,1,5,0.9479628273789439,0.9478610501628008,0.9593355614037777,0.9587322339652546
RTS-GMLC_v2.0,1,6,0.9474699724365104,0.9462128387914994,0.9549102847229145,0.9535804095391454
RTS-GMLC_v2.0,1,7,0.9424606167289983,0.9411021203202643,0.9598404627043239,0.9604931295246703
RTS-GMLC_v2.0,1,8,0.9215760229961002,0.9197571272139411,0.9564986547282501,0.9581017002929655
RTS-GMLC_v2.0,1,9,0.8878530043138196,0.8926086804769897,0.9411144184335438,0.9407911303488642
RTS-GMLC_v2.0,1,10,0.813585271806927,0.8112607538174188,0.9215335623821632,0.9231733018038469
RTS-GMLC_v2.0,1,11,0.5553515130439411,0.5475449382986162,0.889055729119554,0.8945277333784021
RTS-GMLC_v2.0,1,12,0.4169338213946011,0.40966282007175003,0.8265367014878077,0.8221748478911967
RTS-GMLC_v2.0,1,13,0.2519285315554057,0.22040443570902396,0.645541857789181,0.6540987396159802
RTS-GMLC_v2.0,1,14,0.1978749643161345,0.18727437241188455,0.3083457716982291,0.31969875802987296
RTS-GMLC_v2.0,1,15,0.14070662550406718,0.13835924555794515,0.1607167449788933,0.1822578182101313
RTS-GMLC_v2.0,1,16,0.12175465013720078,0.12672672392348966,0.14201956837346102,0.15683173509944837
RTS-GMLC_v2.0,1,17,0.10634781143043934,0.10294923147578175,0.08076698451708762,0.08232492051107121
RTS-GMLC_v2.0,1,18,0.05957061885512116,0.05673424505228688,0.051383430125003626,0.05101601220140259
RTS-GMLC_v2.0,1,19,0.038471787739217375,0.03717692775937868,0.04229763383481571,0.04933975149178822
RTS-GMLC_v2.0,1,20,0.03308739075662253,0.03206184204004266,0.05103420446386241,0.049853430126728805
RTS-GMLC_v2.0,1,21,0.02103367548336104,0.020887406159126456,0.05128513930592747,0.047156166782261845
RTS-GMLC_v2.0,1,22,0.020077043882390788,0.018742507009468817,0.024470583239377022,0.027877078581206065
RTS-GMLC_v2.0,1,23,0.017450479434058974,0.017698861765462252,0.025331052123812467,0.02819482040962912
RTS-GMLC_v2.0,1,24,0.01542211050533814,0.012987666242258175,0.017398394963607955,0.02081884690669278
RTS-GMLC_v2.0,2,25,1.0000000000000007,1.0000000000000004,0.9999999999999994,1.0
