R_ID,Resource,region,cluster,Existing_Cap_MW,Max_energy_MWh,Min_energy_MWh,Min_power,initial_energy_proportion,Charge_efficiency,Discharge_efficiency,Var_OM_cost_per_MWh,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,final_energy_proportion
101,battery,WEC_SDGE,1,108.72,739.925,0,0,0.5,0.9099,0.9099,1.0e-7,578000,74501,14450,177000,22814,4425,0.43
102,battery,WEC_SDGE,2,111.0,1097.69,0,0,0.5,0.8825,0.8825,1.0e-7,578000,74501,14450,177000,22814,4425,0.5
103,battery,WEC_SDGE,3,111.6,690.115,0,0,0.5,0.9326,0.9326,1.0e-7,578000,74501,14450,177000,22814,4425,0.51
104,battery,WEC_SDGE,4,113.4,1359.065,0,0,0.5,0.9392,0.9392,1.0e-7,578000,74501,14450,177000,22814,4425,0.49
105,battery,WEC_SDGE,5,115.14,978.095,0,0,0.5,0.9277,0.9277,1.0e-7,578000,74501,14450,177000,22814,4425,0.48
106,battery,WEC_SDGE,6,106.32,1195.95,0,0,0.5,0.8793,0.8793,1.0e-7,578000,74501,14450,177000,22814,4425,0.61
107,battery,WEC_SDGE,7,113.82,1076.95,0,0,0.5,0.9466,0.9466,1.0e-7,578000,74501,14450,177000,22814,4425,0.4
108,battery,WEC_SDGE,8,114.06,744.77,0,0,0.5,0.9098,0.9098,1.0e-7,578000,74501,14450,177000,22814,4425,0.31
109,battery,WEC_SDGE,9,112.5,1192.125,0,0,0.5,0.9253,0.9253,1.0e-7,578000,74501,14450,177000,22814,4425,0.49
110,battery,WEC_SDGE,10,105.72,1072.275,0,0,0.5,0.9028,0.9028,1.0e-7,578000,74501,14450,177000,22814,4425,0.5
